run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
2,197,195,195,PAYMENT,0,0,0
2,508,1,1,DELIVERY,0,0,0
2,1721,1214,1213,DELIVERY_BG,0,0,0
2,2281,559,559,NEW_ORDER,0,0,0
2,2865,582,582,NEW_ORDER,0,0,0
2,3003,138,138,PAYMENT,0,0,0
2,3499,131,131,PAYMENT,0,0,0
2,4010,141,141,PAYMENT,0,0,0
2,4669,297,297,PAYMENT,0,0,0
2,5226,353,353,NEW_ORDER,0,0,0
2,6101,726,726,NEW_ORDER,0,0,0
2,6819,716,716,NEW_ORDER,0,0,0
2,6907,87,87,ORDER_STATUS,0,0,0
2,7642,322,322,NEW_ORDER,0,0,0
2,7946,123,123,PAYMENT,0,0,0
2,8448,124,124,PAYMENT,0,0,0
2,8968,141,141,PAYMENT,0,0,0
2,9557,227,227,PAYMENT,0,0,0
2,10466,630,630,NEW_ORDER,0,0,0
2,10914,447,447,NEW_ORDER,0,0,0
2,11279,306,306,NEW_ORDER,0,0,0
